Question,SQL Query
List the names of employees who have handled more than 10 orders and the total number of orders they handled.,"SELECT e.firstName, e.lastName, COUNT(o.orderNumber) AS orderCount FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY e.employeeNumber HAVING orderCount > 10;"
Find the average amount spent on orders by customers with credit limits above $5000.,"SELECT AVG(totalSpent) AS avgAmountSpent FROM (SELECT c.customerName, SUM(od.quantityOrdered * od.priceEach) AS totalSpent FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber WHERE c.creditLimit > 5000 GROUP BY c.customerName) total_spent;"
Get the details of all products that have a quantity in stock less than 5 and list their names and quantities.,"SELECT p.productName, p.quantityInStock FROM products p WHERE p.quantityInStock < 5;"
List the names of customers who have made payments of more than $1000 and the total amount of their payments.,"SELECT c.customerName, SUM(p.amount) AS totalPayments FROM customers c JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY c.customerName HAVING totalPayments > 1000;"
Find the total number of orders placed by each customer and list their names and total orders.,"SELECT c.customerName, COUNT(o.orderNumber) AS totalOrders FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY c.customerName;"
Get the details of employees and their offices who have sold products with a price greater than $1000.,"SELECT e.firstName, e.lastName, o.city, o.country FROM employees e JOIN offices o ON e.officeCode = o.officeCode JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode WHERE p.buyPrice > 1000;"
Find all products that have never been ordered and list their product names and product lines.,"SELECT p.productName, pl.productLine FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode WHERE od.orderNumber IS NULL JOIN productlines pl ON p.productLine = pl.productLine;"
List the top 5 customers with the highest credit limit and their contact details.,"SELECT c.customerName, c.contactFirstName, c.contactLastName, c.creditLimit FROM customers c ORDER BY c.creditLimit DESC LIMIT 5;"
Get the number of orders with the status 'Shipped' and the total amount of these orders.,"SELECT COUNT(o.orderNumber) AS shippedOrdersCount, SUM(od.quantityOrdered * od.priceEach) AS totalShippedAmount FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber WHERE o.status = 'Shipped';"
Find the names of employees who have no direct reports and list their names and job titles.,"SELECT e.firstName, e.lastName, e.jobTitle FROM employees e LEFT JOIN employees m ON e.employeeNumber = m.reportsTo WHERE m.employeeNumber IS NULL;"
List all orders and their status along with the names of the products ordered for each order.,"SELECT o.orderNumber, o.status, p.productName FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode;"
Get the total number of products ordered in each product line and list their names and quantities.,"SELECT pl.productLine, p.productName, SUM(od.quantityOrdered) AS totalQuantityOrdered FROM products p JOIN productlines pl ON p.productLine = pl.productLine JOIN orderdetails od ON p.productCode = od.productCode GROUP BY pl.productLine, p.productName;"
Find the names and emails of employees who work in offices located in the same state as their customers.,"SELECT e.firstName, e.lastName, e.email FROM employees e JOIN offices o ON e.officeCode = o.officeCode JOIN customers c ON o.state = c.state;"
List the names of customers who have ordered products from more than 2 different product lines.,SELECT c.customerName FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY c.customerName HAVING COUNT(DISTINCT p.productLine) > 2;
Get the average number of products ordered per order for each product line.,"SELECT pl.productLine, AVG(order_count) AS avgProductsOrderedPerOrder FROM (SELECT p.productLine, o.orderNumber, COUNT(od.productCode) AS order_count FROM products p JOIN orderdetails od ON p.productCode = od.productCode JOIN orders o ON od.orderNumber = o.orderNumber GROUP BY p.productLine, o.orderNumber) order_counts GROUP BY pl.productLine;"
Find the names and contact details of employees who handle customers with the highest total payments.,"SELECT e.firstName, e.lastName, e.email FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY e.employeeNumber HAVING SUM(p.amount) = (SELECT MAX(totalPayments) FROM (SELECT e2.employeeNumber, SUM(p.amount) AS totalPayments FROM employees e2 JOIN customers c2 ON e2.employeeNumber = c2.salesRepEmployeeNumber JOIN payments p ON c2.customerNumber = p.customerNumber GROUP BY e2.employeeNumber) total_per_employee);"
"List all orders with their statuses and the names of products ordered, including the total amount for each order.","SELECT o.orderNumber, o.status, p.productName, SUM(od.quantityOrdered * od.priceEach) AS totalAmount FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN products p ON od.productCode = p.productCode GROUP BY o.orderNumber, o.status, p.productName;"
Get the names and emails of employees who have handled the most orders.,"SELECT e.firstName, e.lastName, e.email FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY e.employeeNumber ORDER BY COUNT(o.orderNumber) DESC LIMIT 1;"
Find the total number of unique products ordered by each customer.,"SELECT c.customerName, COUNT(DISTINCT od.productCode) AS uniqueProductsOrdered FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName;"
List the top 5 most expensive products and their prices.,"SELECT p.productName, p.buyPrice FROM products p ORDER BY p.buyPrice DESC LIMIT 5;"
Get the average quantity ordered per order for each product line.,"SELECT pl.productLine, AVG(order_count) AS avgQuantityOrderedPerOrder FROM (SELECT p.productLine, o.orderNumber, SUM(od.quantityOrdered) AS order_count FROM products p JOIN orderdetails od ON p.productCode = od.productCode JOIN orders o ON od.orderNumber = o.orderNumber GROUP BY p.productLine, o.orderNumber) order_counts GROUP BY pl.productLine;"
Find the total revenue generated from orders in each city.,"SELECT o.city, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.city;"
List the names of employees who have the highest total sales and the number of orders they have handled.,"SELECT e.firstName, e.lastName, SUM(od.quantityOrdered * od.priceEach) AS totalSales, COUNT(o.orderNumber) AS orderCount FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber ORDER BY totalSales DESC LIMIT 1;"
Find the average payment amount made by each customer.,"SELECT c.customerName, AVG(p.amount) AS avgPaymentAmount FROM customers c JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY c.customerName;"
List all products that have been ordered but not yet shipped.,"SELECT p.productName, od.quantityOrdered FROM products p JOIN orderdetails od ON p.productCode = od.productCode JOIN orders o ON od.orderNumber = o.orderNumber WHERE o.shippedDate IS NULL;"
Get the total number of products ordered for each product line and the total revenue for each line.,"SELECT pl.productLine, SUM(od.quantityOrdered) AS totalQuantityOrdered, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue FROM products p JOIN productlines pl ON p.productLine = pl.productLine JOIN orderdetails od ON p.productCode = od.productCode GROUP BY pl.productLine;"
Find the top 10 customers with the most orders and list their names and the total number of orders they have placed.,"SELECT c.customerName, COUNT(o.orderNumber) AS totalOrders FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY c.customerName ORDER BY totalOrders DESC LIMIT 10;"
List the names and total amount spent on orders by each customer who has made payments.,"SELECT c.customerName, SUM(od.quantityOrdered * od.priceEach) AS totalSpent FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber JOIN payments p ON c.customerNumber = p.customerNumber GROUP BY c.customerName;"
Find the top 5 customers with the highest number of different products ordered and list their names and number of unique products.,"SELECT c.customerName, COUNT(DISTINCT od.productCode) AS uniqueProductsOrdered FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName ORDER BY uniqueProductsOrdered DESC LIMIT 5;"
List all orders along with the number of products ordered and the total amount for each order.,"SELECT o.orderNumber, COUNT(od.productCode) AS productCount, SUM(od.quantityOrdered * od.priceEach) AS totalAmount FROM orders o JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY o.orderNumber;"
Get the names and prices of products with the highest and lowest prices.,"SELECT MAX(buyPrice) AS highestPrice, MIN(buyPrice) AS lowestPrice FROM products;"
Find the names of employees who have sold products to the most number of unique customers.,"SELECT e.firstName, e.lastName, COUNT(DISTINCT o.customerNumber) AS uniqueCustomersServed FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber GROUP BY e.employeeNumber ORDER BY uniqueCustomersServed DESC LIMIT 1;"
Get the total revenue generated from orders by each employee.,"SELECT e.firstName, e.lastName, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber;"
Find the top 3 products that have been ordered the most and list their names and order counts.,"SELECT p.productName, COUNT(od.orderNumber) AS orderCount FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productName ORDER BY orderCount DESC LIMIT 3;"
List the names of employees who have handled the highest total revenue from orders and the number of orders handled.,"SELECT e.firstName, e.lastName, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue, COUNT(o.orderNumber) AS orderCount FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber ORDER BY totalRevenue DESC LIMIT 1;"
Get the average revenue per order for each product line.,"SELECT pl.productLine, AVG(order_total) AS avgRevenuePerOrder FROM (SELECT p.productLine, o.orderNumber, SUM(od.quantityOrdered * od.priceEach) AS order_total FROM products p JOIN orderdetails od ON p.productCode = od.productCode JOIN orders o ON od.orderNumber = o.orderNumber GROUP BY p.productLine, o.orderNumber) order_totals GROUP BY pl.productLine;"
Find the total revenue generated by each vendor.,"SELECT p.productVendor, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue FROM products p JOIN orderdetails od ON p.productCode = od.productCode GROUP BY p.productVendor;"
Get the average amount spent by each customer on orders and list the top 10 customers by average amount spent.,"SELECT c.customerName, AVG(totalSpent) AS avgAmountSpent FROM (SELECT c.customerName, o.orderNumber, SUM(od.quantityOrdered * od.priceEach) AS totalSpent FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName, o.orderNumber) order_totals GROUP BY c.customerName ORDER BY avgAmountSpent DESC LIMIT 10;"
List all products with a price between $500 and $1000 and their quantities in stock.,"SELECT p.productName, p.buyPrice, p.quantityInStock FROM products p WHERE p.buyPrice BETWEEN 500 AND 1000;"
Find the names of customers who have made payments but have not placed any orders.,SELECT c.customerName FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber WHERE o.orderNumber IS NULL AND EXISTS (SELECT 1 FROM payments p WHERE p.customerNumber = c.customerNumber);
Get the total number of orders placed by each customer and the average order amount for those orders.,"SELECT c.customerName, COUNT(o.orderNumber) AS totalOrders, AVG(order_amount) AS avgOrderAmount FROM (SELECT c.customerName, o.orderNumber, SUM(od.quantityOrdered * od.priceEach) AS order_amount FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName, o.orderNumber) order_totals GROUP BY c.customerName;"
Find the total revenue generated from orders with a status of 'Shipped' and list the top 5 customers by revenue.,"SELECT c.customerName, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber WHERE o.status = 'Shipped' GROUP BY c.customerName ORDER BY totalRevenue DESC LIMIT 5;"
Get the total number of products ordered from each product line and list the top 5 product lines by total products ordered.,"SELECT pl.productLine, SUM(od.quantityOrdered) AS totalProductsOrdered FROM products p JOIN productlines pl ON p.productLine = pl.productLine JOIN orderdetails od ON p.productCode = od.productCode GROUP BY pl.productLine ORDER BY totalProductsOrdered DESC LIMIT 5;"
List all employees and the total revenue generated by their customers' orders.,"SELECT e.firstName, e.lastName, SUM(od.quantityOrdered * od.priceEach) AS totalRevenue FROM employees e JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY e.employeeNumber;"
Find the names of customers who have ordered the highest number of products and list their total product count.,"SELECT c.customerName, COUNT(od.productCode) AS totalProductsOrdered FROM customers c JOIN orders o ON c.customerNumber = o.customerNumber JOIN orderdetails od ON o.orderNumber = od.orderNumber GROUP BY c.customerName ORDER BY totalProductsOrdered DESC LIMIT 1;"
Find all products and their corresponding product lines including their descriptions,"SELECT p.productName, pl.textDescription FROM products p INNER JOIN productlines pl ON p.productLine = pl.productLine;"
"List all employees and their offices including phone numbers, even if they don't have an office assigned","SELECT e.firstName, e.lastName, o.city, o.phone FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
"Find all customers and their orders, including those customers who haven't placed any orders","SELECT c.customerName, o.orderNumber FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber;"
Get all orders and their corresponding order details with product names,"SELECT o.orderNumber, od.productCode, p.productName FROM orders o INNER JOIN orderdetails od ON o.orderNumber = od.orderNumber INNER JOIN products p ON od.productCode = p.productCode;"
"List all employees and the customers they have sold to, including those who have not sold to any customer","SELECT e.firstName, e.lastName, c.customerName FROM employees e LEFT JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber;"
"Find all payments and the customers who made them, including customers with no payments","SELECT p.checkNumber, p.paymentDate, c.customerName FROM payments p LEFT JOIN customers c ON p.customerNumber = c.customerNumber;"
Get all orders and the corresponding payment details,"SELECT o.orderNumber, p.checkNumber, p.paymentDate FROM orders o LEFT JOIN payments p ON o.customerNumber = p.customerNumber;"
"List all products and their corresponding order details, including products with no order details","SELECT p.productName, od.quantityOrdered FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode;"
Find all customers and their orders along with the corresponding order details,"SELECT c.customerName, o.orderNumber, od.productCode FROM customers c INNER JOIN orders o ON c.customerNumber = o.customerNumber INNER JOIN orderdetails od ON o.orderNumber = od.orderNumber;"
"List all offices and the employees assigned to them, including offices with no employees assigned","SELECT o.officeCode, o.city, e.firstName, e.lastName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Find all products and their descriptions, including products with no descriptions","SELECT p.productName, p.productDescription, pl.textDescription FROM products p LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"Get the names of customers who have made payments, along with the payment details","SELECT c.customerName, p.checkNumber, p.paymentDate FROM customers c INNER JOIN payments p ON c.customerNumber = p.customerNumber;"
"List all products and the offices where they are available, including products with no associated offices","SELECT p.productName, o.city FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber;"
"Find all orders and their details, including orders with no details","SELECT o.orderNumber, od.productCode, od.quantityOrdered FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber;"
"List all employees and their managers, including employees without managers","SELECT e.firstName AS Employee, m.firstName AS Manager FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;"
"Find all orders and their payments, including orders with no payments","SELECT o.orderNumber, p.checkNumber, p.paymentDate FROM orders o LEFT JOIN payments p ON o.customerNumber = p.customerNumber;"
"Get all products and their sales representatives, including products without sales representatives","SELECT p.productName, e.firstName, e.lastName FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN employees e ON o.customerNumber = e.employeeNumber;"
"List all employees and their office locations, including employees with no office location","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
Find all customers and their orders with their payment details,"SELECT c.customerName, o.orderNumber, p.checkNumber FROM customers c INNER JOIN orders o ON c.customerNumber = o.customerNumber LEFT JOIN payments p ON c.customerNumber = p.customerNumber;"
List all orders and their corresponding products with product descriptions,"SELECT o.orderNumber, p.productName, p.productDescription FROM orders o INNER JOIN orderdetails od ON o.orderNumber = od.orderNumber INNER JOIN products p ON od.productCode = p.productCode;"
"Get all employees and their customers, including employees who have no customers","SELECT e.firstName, e.lastName, c.customerName FROM employees e LEFT JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber;"
"Find all products and their corresponding orders and customers, including products with no orders","SELECT p.productName, o.orderNumber, c.customerName FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN customers c ON o.customerNumber = c.customerNumber;"
"List all offices and the employees located in them, including offices with no employees","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Find all products and their corresponding customers and payments, including products with no payments","SELECT p.productName, c.customerName, p.paymentDate FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN payments p ON o.customerNumber = p.customerNumber;"
"Get all customers and their orders, including customers with no orders","SELECT c.customerName, o.orderNumber FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber;"
"List all employees and their offices, including employees with no office","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
"Find all products and their suppliers, including products with no suppliers","SELECT p.productName, e.firstName AS Supplier FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN employees e ON o.customerNumber = e.employeeNumber;"
"Get all customers and their orders including the payment details, even if there is no payment made","SELECT c.customerName, o.orderNumber, p.checkNumber FROM customers c INNER JOIN orders o ON c.customerNumber = o.customerNumber LEFT JOIN payments p ON c.customerNumber = p.customerNumber;"
"Find all employees and their managers, including employees with no managers assigned","SELECT e.firstName AS Employee, m.firstName AS Manager FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;"
"List all orders with their products and product lines, including orders with no associated product lines","SELECT o.orderNumber, p.productName, pl.textDescription FROM orders o INNER JOIN orderdetails od ON o.orderNumber = od.orderNumber INNER JOIN products p ON od.productCode = p.productCode LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"Find all employees and their office locations, including offices with no employees","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
"Get all customers and their orders along with product details, including customers with no orders","SELECT c.customerName, o.orderNumber, p.productName FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"List all products and their orders, including products with no orders","SELECT p.productName, o.orderNumber FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber;"
"Find all offices and their employees, including offices with no employees","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
Get all employees and their customers including customers who have not been assigned,"SELECT e.firstName, e.lastName, c.customerName FROM employees e LEFT JOIN customers c ON e.employeeNumber = c.salesRepEmployeeNumber;"
"List all orders and the products ordered, including orders with no products","SELECT o.orderNumber, p.productName FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"Find all products and their corresponding customers and payments, including products with no payment details","SELECT p.productName, c.customerName, p.paymentDate FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN payments p ON o.customerNumber = p.customerNumber;"
"Get all employees and their offices, including offices with no employees assigned","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
"List all customers and their corresponding payments, including customers who have not made any payments","SELECT c.customerName, p.checkNumber FROM customers c LEFT JOIN payments p ON c.customerNumber = p.customerNumber;"
"Find all orders and their products with descriptions, including orders with no product details","SELECT o.orderNumber, p.productName, p.productDescription FROM orders o INNER JOIN orderdetails od ON o.orderNumber = od.orderNumber INNER JOIN products p ON od.productCode = p.productCode;"
"Get all products and their corresponding product lines and descriptions, including products without product lines","SELECT p.productName, pl.textDescription FROM products p LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"List all offices and the employees assigned to them, including offices with no employees","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Find all customers and their orders with products, including customers with no orders","SELECT c.customerName, o.orderNumber, p.productName FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"Get all orders and their payments, including orders with no payments","SELECT o.orderNumber, p.checkNumber FROM orders o LEFT JOIN payments p ON o.customerNumber = p.customerNumber;"
"List all products and their suppliers, including products with no suppliers","SELECT p.productName, e.firstName AS Supplier FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN employees e ON o.customerNumber = e.employeeNumber;"
"Find all customers and their orders, including those with no orders","SELECT c.customerName, o.orderNumber FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber;"
"Get all employees and their office locations, including those with no office","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
"List all products and their descriptions, including products with no descriptions","SELECT p.productName, p.productDescription FROM products p LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"Find all orders and their products, including orders with no products","SELECT o.orderNumber, p.productName FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"Get all employees and their managers, including those without managers","SELECT e.firstName AS Employee, m.firstName AS Manager FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;"
"List all products and their associated orders, including products with no orders","SELECT p.productName, o.orderNumber FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber;"
"Find all offices and employees, including offices with no employees","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Get all orders and their corresponding customers and payments, including orders with no payments","SELECT o.orderNumber, c.customerName, p.checkNumber FROM orders o LEFT JOIN customers c ON o.customerNumber = c.customerNumber LEFT JOIN payments p ON c.customerNumber = p.customerNumber;"
"List all customers and their orders, including customers with no orders","SELECT c.customerName, o.orderNumber FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber;"
"Find all products and their corresponding product lines and descriptions, including products without product lines","SELECT p.productName, pl.textDescription FROM products p LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"Get all employees and their office locations, including employees with no office assigned","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
"List all orders and their products with descriptions, including orders with no products","SELECT o.orderNumber, p.productName, p.productDescription FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"Find all customers and their payments, including customers who have not made any payments","SELECT c.customerName, p.checkNumber FROM customers c LEFT JOIN payments p ON c.customerNumber = p.customerNumber;"
"Get all products and their sales representatives, including products with no sales representatives","SELECT p.productName, e.firstName AS SalesRep FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN employees e ON o.customerNumber = e.employeeNumber;"
"List all offices and their employees, including offices with no employees assigned","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Find all orders and their customers, including orders with no customers","SELECT o.orderNumber, c.customerName FROM orders o LEFT JOIN customers c ON o.customerNumber = c.customerNumber;"
"Get all employees and their managers, including employees with no manager assigned","SELECT e.firstName AS Employee, m.firstName AS Manager FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;"
"List all products and their order details, including products with no order details","SELECT p.productName, od.quantityOrdered FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode;"
"Find all offices and the employees in them, including offices with no employees","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Get all customers and their orders, including those with no orders","SELECT c.customerName, o.orderNumber FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber;"
"List all products and their suppliers, including products with no suppliers","SELECT p.productName, e.firstName AS Supplier FROM products p LEFT JOIN orderdetails od ON p.productCode = od.productCode LEFT JOIN orders o ON od.orderNumber = o.orderNumber LEFT JOIN employees e ON o.customerNumber = e.employeeNumber;"
"Find all orders and their products with descriptions, including orders with no products","SELECT o.orderNumber, p.productName, p.productDescription FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"Get all employees and their office locations, including employees without offices","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
"List all customers and their payments, including customers with no payments","SELECT c.customerName, p.checkNumber FROM customers c LEFT JOIN payments p ON c.customerNumber = p.customerNumber;"
"Find all products and their product lines, including products without product lines","SELECT p.productName, pl.productLine FROM products p LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"Get all orders and their products, including orders with no products","SELECT o.orderNumber, p.productName FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"List all offices and their employees, including offices with no employees","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Find all customers and their orders, including customers with no orders","SELECT c.customerName, o.orderNumber FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber;"
"Get all employees and their managers, including employees without managers","SELECT e.firstName AS Employee, m.firstName AS Manager FROM employees e LEFT JOIN employees m ON e.reportsTo = m.employeeNumber;"
"List all products and their descriptions, including products with no descriptions","SELECT p.productName, p.productDescription FROM products p LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"Find all orders and their products, including orders with no products","SELECT o.orderNumber, p.productName FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"Get all customers and their orders, including customers with no orders","SELECT c.customerName, o.orderNumber FROM customers c LEFT JOIN orders o ON c.customerNumber = o.customerNumber;"
"List all offices and their employees, including offices with no employees","SELECT o.officeCode, o.city, e.firstName FROM offices o LEFT JOIN employees e ON o.officeCode = e.officeCode;"
"Find all products and their product lines, including products without product lines","SELECT p.productName, pl.productLine FROM products p LEFT JOIN productlines pl ON p.productLine = pl.productLine;"
"Get all orders and their products with descriptions, including orders with no products","SELECT o.orderNumber, p.productName, p.productDescription FROM orders o LEFT JOIN orderdetails od ON o.orderNumber = od.orderNumber LEFT JOIN products p ON od.productCode = p.productCode;"
"List all customers and their payments, including customers with no payments","SELECT c.customerName, p.checkNumber FROM customers c LEFT JOIN payments p ON c.customerNumber = p.customerNumber;"
"Find all employees and their offices, including offices with no employees assigned","SELECT e.firstName, e.lastName, o.city FROM employees e LEFT JOIN offices o ON e.officeCode = o.officeCode;"
